,name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
0,iss,25544,43.775423590538,-99.125903123333,421.95714270933,27594.961096419,daylight,4517.4071514394,2021-10-13 21:33:03,2459501.3979514,-8.1099470948612,213.26420228308,kilometers
0,iss,25544,42.752915606883,-96.992656916347,421.75282556625,27594.947304711,daylight,4516.3703213612,2021-10-13 21:33:33,2459501.3982986,-8.1100762681396,213.13918195554,kilometers
0,iss,25544,41.650970331062,-94.86648467115,421.53786265541,27594.914010266,daylight,4515.2791546801,2021-10-13 21:34:04,2459501.3986574,-8.1102097471112,213.00999413873,kilometers
0,iss,25544,40.506113150184,-92.81722594527,421.32051891877,27594.859567526,daylight,4514.1755757342,2021-10-13 21:34:35,2459501.3990162,-8.1103432256646,212.88080648987,kilometers
0,iss,25544,39.360208141293,-90.904539129716,421.10940661377,27594.785004665,daylight,4513.1033222905,2021-10-13 21:35:05,2459501.3993634,-8.110472398247,212.75578616316,kilometers
0,iss,25544,38.139677642376,-88.997811120423,420.89202606058,27594.683529435,daylight,4511.9989073198,2021-10-13 21:35:36,2459501.3997222,-8.1106058763235,212.62659851487,kilometers
0,iss,25544,36.884817869867,-87.158620462727,420.67705670855,27594.555363795,daylight,4510.906418396,2021-10-13 21:36:07,2459501.400081,-8.1107393541577,212.49741086686,kilometers
0,iss,25544,35.6401650091,-85.439807816607,420.4728893525,27594.404145968,daylight,4509.8685272304,2021-10-13 21:36:37,2459501.4004282,-8.110868526044,212.37239054098,kilometers
0,iss,25544,34.325081070071,-83.723380353058,420.26754935591,27594.217973943,daylight,4508.8243811629,2021-10-13 21:37:08,2459501.400787,-8.1110020034012,212.24320289355,kilometers
0,iss,25544,32.982802719855,-82.064147836937,420.06960133054,27593.999571201,daylight,4507.817543921,2021-10-13 21:37:39,2459501.4011458,-8.1111354806919,212.11401507874,kilometers
0,iss,25544,31.659915808128,-80.509640388205,419.886659685,27593.755821721,daylight,4506.8867909544,2021-10-13 21:38:09,2459501.4014931,-8.111264651882,211.98899475369,kilometers
0,iss,25544,30.270140427818,-78.952916258275,419.70814946885,27593.468761728,daylight,4505.9783579355,2021-10-13 21:38:40,2459501.4018519,-8.1113981285199,211.85980710712,kilometers
0,iss,25544,28.859016773292,-77.443327060448,419.54196638453,27593.144258179,daylight,4505.1324566816,2021-10-13 21:39:11,2459501.4022106,-8.1115316049154,211.73061946083,kilometers
0,iss,25544,27.428262833084,-75.977655770812,419.38972110819,27592.780684835,daylight,4504.3573314366,2021-10-13 21:39:42,2459501.4025694,-8.1116650810658,211.60143181483,kilometers
0,iss,25544,26.026485332012,-74.598148713639,419.25713622599,27592.39018815,daylight,4503.6821705967,2021-10-13 21:40:12,2459501.4029167,-8.1117942513279,211.47641149089,kilometers
0,iss,25544,24.561698349051,-73.20991755011,419.13685251257,27591.945328733,daylight,4503.0695441931,2021-10-13 21:40:43,2459501.4032755,-8.1119277270068,211.34722384547,kilometers
0,iss,25544,23.081755927065,-71.856695223623,419.03501001801,27591.457121407,daylight,4502.5507628165,2021-10-13 21:41:14,2459501.4036343,-8.1120612026135,211.21803603266,kilometers
0,iss,25544,21.636377951104,-70.577841955583,418.955326995,27590.942241268,daylight,4502.144810075,2021-10-13 21:41:44,2459501.4039815,-8.1121903721766,211.09301570955,kilometers
0,iss,25544,20.130421889867,-69.285497270457,418.89377831648,27590.365299407,daylight,4501.8312139516,2021-10-13 21:42:15,2459501.4043403,-8.1123238471333,210.96382806498,kilometers
0,iss,25544,18.613031665225,-68.020224024401,418.85458829067,27589.741778155,daylight,4501.6315233338,2021-10-13 21:42:46,2459501.4046991,-8.1124573218475,210.8346404207,kilometers
0,iss,25544,17.134755782435,-66.819211345689,418.83903636683,27589.093258816,daylight,4501.552276372,2021-10-13 21:43:16,2459501.4050463,-8.1125864907145,210.70962009841,kilometers
0,iss,25544,15.598076489224,-65.600073294218,418.84711415859,27588.375870982,daylight,4501.5934380803,2021-10-13 21:43:47,2459501.4054051,-8.1127199649543,210.58043245471,kilometers
0,iss,25544,14.053120249502,-64.400929306026,418.88068003071,27587.609972144,daylight,4501.7644735584,2021-10-13 21:44:18,2459501.4057639,-8.1128534389491,210.45124481128,kilometers
0,iss,25544,12.55103112819,-63.257412022378,418.93822904768,27586.822287708,daylight,4502.0576971452,2021-10-13 21:44:48,2459501.4061111,-8.1129826071197,210.32622448983,kilometers
0,iss,25544,10.992571266447,-62.091192010153,419.02431183692,27585.960163186,daylight,4502.4962625064,2021-10-13 21:45:19,2459501.4064699,-8.1131160808103,210.19703667931,kilometers
0,iss,25544,9.4285946369903,-60.938575510123,419.13805463935,27585.049103308,daylight,4503.0756673415,2021-10-13 21:45:50,2459501.4068287,-8.1132495540856,210.06784903675,kilometers
0,iss,25544,7.910627973828,-59.834174347331,419.27492909414,27584.121047283,daylight,4503.7727842279,2021-10-13 21:46:20,2459501.4071759,-8.1133787215599,209.94282871612,kilometers
0,iss,25544,6.3382909038438,-58.702427463408,419.44441718449,27583.114526428,daylight,4504.635823868,2021-10-13 21:46:51,2459501.4075347,-8.1135121943606,209.81364107413,kilometers
0,iss,25544,4.7629301177921,-57.578375657506,419.64265108095,27582.060296007,daylight,4505.6449826757,2021-10-13 21:47:22,2459501.4078935,-8.1136456669135,209.68445343242,kilometers
0,iss,25544,3.23626398252,-56.496104375176,419.86196044119,27580.995400441,daylight,4506.7611105608,2021-10-13 21:47:52,2459501.4082407,-8.1137748336941,209.55943311263,kilometers
0,iss,25544,1.6572842368914,-55.381620004973,420.11693916632,27579.849817236,daylight,4508.0583466845,2021-10-13 21:48:23,2459501.4085995,-8.1139083057726,209.43024547149,kilometers
0,iss,25544,0.07762724034977,-54.269203369857,420.40058170358,27578.659481412,daylight,4509.5008792015,2021-10-13 21:48:54,2459501.4089583,-8.1140417777816,209.30105766298,kilometers
0,iss,25544,-1.4509823939792,-53.192883050613,420.70208620718,27577.466244001,daylight,4511.0336366081,2021-10-13 21:49:24,2459501.4093056,-8.114170943863,209.17603734402,kilometers
0,iss,25544,-3.029698037708,-52.079086500609,421.04113290931,27576.192096362,daylight,4512.7564891259,2021-10-13 21:49:55,2459501.4096644,-8.1143044152246,209.04684970374,kilometers
